"Player","College","draft_year","Pk","athlete_id","team_location","num_years_college","college_1","college_2","college_3","college_4","nba_season_1","nba_season_2","nba_season_3","nba_season_4","nba_season_5"
"Ja'Kobe Walter","Baylor",2024,19,4684272,"Baylor",1,9.535,NA,NA,NA,-1.28,0.43,NA,NA,NA
"JaJuan Johnson","Purdue",2011,27,36150,"Purdue",4,3.427,7.606,10.751,16.935,-4.27,NA,NA,NA,NA
"JaVale McGee","Nevada",2008,18,32080,"Nevada",2,7.047,9.65,NA,NA,-2.56,-3.11,-1.54,-2.58,-2.08
"Jabari Bird","California",2017,56,66327,"California",4,4.263,5.445,5.05,10.627,-1.2,-1.44,NA,NA,NA
"Jabari Parker","Duke",2014,2,66562,"Duke",1,15.725,NA,NA,NA,-1.52,-1.21,-0.79,-1.17,-0.43
"Jabari Smith","Auburn",2022,3,4432639,"Auburn",1,12.633,NA,NA,NA,-2.56,-1.16,0.02,0.51,NA
"Jabari Walker","Colorado",2022,57,4432446,"Colorado",2,9.768,9.65,NA,NA,-3.44,-3.06,-1.66,-0.24,NA
"Jack McClinton","Miami (FL)",2009,51,23242,"Miami (FL)",4,11.354,11.855,11.093,13.329,-10,NA,NA,NA,NA
"Jacob Evans","Cincinnati",2018,28,3934621,"Cincinnati",3,4.465,14.377,11.12,NA,-2.62,-3.16,NA,NA,NA
"Jaden Ivey","Purdue",2022,5,4433218,"Purdue",2,7.219,12.676,NA,NA,-2.29,-2.44,-1.18,-1.79,NA
"Jaden McDaniels","Washington",2020,28,4431671,"Washington",1,5.869,NA,NA,NA,-1.84,-0.74,-0.13,0.23,1.23
"Jaden Springer","Tennessee",2021,28,4432164,"Tennessee",1,9.381,NA,NA,NA,-0.99,-1.23,-0.3,-0.54,-0.43
"Jae Crowder","Marquette",2012,34,51394,"Marquette",2,6.875,17.366,NA,NA,-0.46,1.29,1.45,1.96,1.89
"Jahlil Okafor","Duke",2015,3,3135048,"Duke",1,14.848,NA,NA,NA,-1.36,-2.71,-2.8,-2.3,-1.81
"Jahmai Mashack","Tennessee",2025,59,4683934,"Tennessee",4,2.359,3.719,3.699,13.329,-2.55,NA,NA,NA,NA
"Jahmi'us Ramsey","Texas Tech",2020,43,4431688,"Texas Tech",1,8.994,NA,NA,NA,-1.96,-2.11,-1.89,NA,NA
"Jaime Jaquez","UCLA",2023,18,4432848,"UCLA",4,4.426,10.702,11.093,14.884,-1.45,-0.85,-0.64,NA,NA
"Jake LaRavia","Wake Forest",2022,19,4592691,"Wake Forest",3,13.025,9.65,11.093,NA,-1.3,-0.65,-0.92,-0.28,NA
"Jake Layman","Maryland",2016,47,61796,"Maryland",4,1.969,6.598,8.721,6.931,-2.47,-2.16,-1.45,-1.05,-0.4
"Jakob Poeltl","Utah",2016,9,3134908,"Utah",2,7.083,15.969,NA,NA,0.06,0.67,0.54,1.44,1.69
"Jalen Brunson","Villanova",2018,33,3934672,"Villanova",3,5.078,17.417,19.089,NA,-0.98,-0.43,0.95,1.26,1.99
"Jalen Duren","Memphis",2022,13,4433621,"Memphis",1,7.615,NA,NA,NA,-0.84,-1.53,1.08,2.14,NA
"Jalen Harris","Nevada",2020,59,4066998,"Nevada",3,16.625,9.65,11.093,NA,-1.26,NA,NA,NA,NA
"Jalen Hood-Schifino","Indiana",2023,17,5105797,"Indiana",1,4.672,NA,NA,NA,-2.7,-2.72,-3.18,NA,NA
"Jalen McDaniels","San Diego State",2019,52,4066731,"San Diego State",2,8.23,9.107,NA,NA,-2.53,-1.86,-1.32,-0.1,-1.81
"Jalen Pickett","Penn State",2023,32,4398390,"Penn State",4,9.501,19.955,11.093,13.329,-1.06,-2.34,-2.03,NA,NA
"Jalen Slawson","Furman",2023,54,4398207,"Furman",4,3.474,5.89,10.994,9.566,-2.04,-0.37,NA,NA,NA
"Jalen Smith","Maryland",2020,10,4397189,"Maryland",2,8.206,14.005,NA,NA,-3.07,-0.96,-1.42,-0.74,1.15
"Jalen Suggs","Gonzaga",2021,5,4432165,"Gonzaga",1,12.21,NA,NA,NA,-2.21,-0.78,1.39,1.53,2.09
"Jalen Williams","Santa Clara",2022,12,4593803,"Santa Clara",3,2.695,14.615,11.093,NA,-0.39,1.96,2.44,2,NA
"Jalen Wilson","Kansas",2023,51,4431714,"Kansas",4,7.892,8.127,12.897,13.329,-1.86,-1.7,-2.03,NA,NA
"Jamaal Franklin","San Diego State",2013,41,51842,"San Diego State",3,12.152,11.929,11.093,NA,-1.78,-2.54,NA,NA,NA
"Jamal Murray","Kentucky",2016,7,3936299,"Kentucky",1,16.072,NA,NA,NA,-1.35,0.36,1.05,2.15,1.92
"Jamal Shead","Houston",2024,45,4432241,"Houston",4,9.239,7.582,13.03,13.329,-2.26,0.85,NA,NA,NA
"James Anderson","Oklahoma State",2010,20,36251,"Oklahoma State",3,7.438,10.965,11.093,NA,-2.07,-2.25,-0.99,-1.97,-0.83
"James Bouknight","UConn",2021,11,4431712,"UConn",2,7.797,9.65,NA,NA,-2.47,-3.07,-1.78,NA,NA
"James Ennis","Cal State Long Beach",2013,50,56241,"Cal State Long Beach",2,6.202,8.826,NA,NA,0.04,0.38,0.07,-1.12,-0.44
"James Gist","Maryland",2008,57,22387,"Maryland",4,9.139,9.65,11.093,13.329,-10,NA,NA,NA,NA
"James Harden","Arizona State",2009,3,36072,"Arizona State",2,17.504,19.071,NA,NA,2.16,2.85,3.28,4.33,4.49
"James Johnson","Wake Forest",2009,16,36120,"Wake Forest",2,9.69,8.04,NA,NA,-1.12,-1.3,-0.3,-2.75,1.19
"James Young","Kentucky",2014,17,66613,"Kentucky",1,9.078,NA,NA,NA,-1.94,-0.79,-0.87,-1.06,NA
"Jamir Watkins","Florida State",2025,43,4606840,"Florida State",4,10.381,10.323,11.093,13.329,-0.45,NA,NA,NA,NA
"Jarace Walker","Houston",2023,8,5106060,"Houston",1,7.429,NA,NA,NA,-1.27,-1.2,-1.73,NA,NA
"Jared Butler","Baylor",2021,40,4395695,"Baylor",3,6.012,12.184,17.122,NA,-1.83,-1.55,-0.75,-0.9,-0.75
"Jared Cunningham","Oregon State",2012,24,46146,"Oregon State",3,2.137,6.2,10.839,NA,-1.67,-1.5,-1.71,-2.55,NA
"Jared McCain","Duke",2024,16,4683778,"Duke",1,9.578,NA,NA,NA,-0.68,-1.85,NA,NA,NA
"Jared Sullinger","Ohio State",2012,21,51405,"Ohio State",2,16.314,18.124,NA,NA,-0.85,-0.16,-0.31,-0.03,-0.72
"Jarell Martin","LSU",2015,25,66253,"LSU",2,5.205,11.374,NA,NA,-1.42,-2.05,-2.05,-0.48,NA
"Jaren Jackson","Michigan State",2018,4,4277961,"Michigan State",1,8.648,NA,NA,NA,-0.88,0.81,0.43,2.21,2.38
"Jarnell Stokes","Tennessee",2014,35,61049,"Tennessee",3,8.242,15.159,11.093,NA,-0.82,-1.15,-0.22,-1.51,NA
"Jaron Blossomgame","Clemson",2017,59,61835,"Clemson",4,2.728,9.482,15.763,14.617,-2.17,NA,NA,NA,NA
"Jarrell Brantley","College of Charleston",2019,50,3912292,"College of Charleston",4,4.778,11.481,11.381,13.56,-1.43,-0.93,-0.01,NA,NA
"Jarrett Allen","Texas",2017,22,4066328,"Texas",1,10.128,NA,NA,NA,-0.66,0.25,0.78,-0.48,1.51
"Jarrett Culver","Texas Tech",2019,6,4277928,"Texas Tech",2,7.827,17.078,NA,NA,-0.71,-1.71,-2.51,-2.69,NA
"Jarvis Varnado","Mississippi State",2010,41,32037,"Mississippi State",4,4.55,6.643,10.099,13.329,-2.87,-1.87,NA,NA,NA
"Jase Richardson","Michigan State",2025,25,5239561,"Michigan State",1,8.43,NA,NA,NA,-2.14,NA,NA,NA,NA
"Jason Preston","Ohio",2021,33,4397916,"Ohio",3,2.573,13.458,13.565,NA,-1.74,-1.7,-2.7,-2.14,-2.37
"Jason Thompson","Rider",2008,12,23138,"Rider",4,16.623,9.65,11.093,13.329,-1.19,-1.22,0.04,1.01,0.02
"Javon Small","West Virginia",2025,48,4781746,"West Virginia",4,17.931,9.65,11.093,13.329,-0.44,NA,NA,NA,NA
"Jawun Evans","Oklahoma State",2017,39,3912854,"Oklahoma State",2,8.663,20.092,NA,NA,-2.5,-2.47,NA,NA,NA
"Jaxson Hayes","Texas",2019,8,4397077,"Texas",1,7.333,NA,NA,NA,0.96,-1.33,-0.5,-0.2,-1.19
"Jaylen Brown","California",2016,3,3917376,"California",1,6.424,NA,NA,NA,-2.04,0.57,0.11,1.31,2.34
